L-4906,Dippach
L-4968,Schouweiler
L-4970,Sprinkange
L-4970,Bettange-sur-Mess
L-4971,Bettange-sur-Mess
L-4972,Dippach
L-4973,Dippach
L-4974,Dippach
L-4975,Bettange-sur-Mess
L-4976,Bettange-sur-Mess
L-4977,Bettange-sur-Mess
L-4994,Sprinkange
L-4994,Schouweiler
L-4995,Schouweiler
L-4996,Schouweiler
L-4997,Schouweiler
L-4998,Schouweiler
L-4998,Sprinkange
L-4999,Schouweiler
L-4999,Sprinkange
L-8350,Garnich
L-8351,Dahlem
L-8352,Dahlem
L-8353,Garnich
L-8354,Garnich
L-8355,Garnich
L-8356,Garnich
L-8369,Hivange
L-8376,Kahler
L-8370,Hobscheid
L-8371,Hobscheid
L-8372,Hobscheid
L-8373,Hobscheid
L-8374,Hobscheid
L-8375,Hobscheid
L-8460,Eischen
L-8461,Eischen
L-8462,Eischen
L-8463,Eischen
L-8464,Eischen
L-8465,Eischen
L-8466,Eischen
L-8467,Eischen
L-8468,Eischen
L-8469,Eischen
L-8470,Eischen
L-8471,Eischen
L-8472,Eischen
L-8473,Eischen
L-8474,Eischen
L-8475,Eischen
L-8476,Eischen
L-8477,Eischen
L-8478,Eischen
L-8479,Eischen
L-8480,Eischen
L-7423,Dondelange
L-8185,Kehlen
L-8205,Kehlen
L-8274,Kehlen
L-8280,Kehlen
L-8281,Kehlen
L-8282,Kehlen
L-8283,Kehlen
L-8284,Kehlen
L-8285,Kehlen
L-8286,Kehlen
L-8287,Kehlen
L-8288,Kehlen
L-8289,Kehlen
L-8290,Kehlen
L-8291,Meispelt
L-8292,Meispelt
L-8293,Keispelt
L-8294,Keispelt
L-8295,Kehlen
L-8295,Keispelt
L-8312,Olm
L-8315,Olm
L-8316,Olm
L-8317,Olm
L-8319,Olm
L-8321,Olm
L-8322,Olm
L-8323,Olm
L-8324,Olm
L-8327,Olm
L-8332,Olm
L-8333,Olm
L-8338,Olm
L-8339,Olm
L-8340,Olm
L-8341,Olm
L-8342,Olm
L-8343,Olm
L-8344,Olm
L-8390,Nospelt
L-8391,Nospelt
L-8392,Nospelt
L-8393,Olm
L-8394,Olm
L-8306,Koerich
L-8357,Goeblange
L-8358,Goeblange
L-8359,Goeblange
L-8360,Goetzingen
L-8361,Goetzingen
L-8383,Koerich
L-8384,Koerich
L-8385,Koerich
L-8386,Koerich
L-8387,Koerich
L-8388,Koerich
L-8399,Windhof (Koerich)
L-8116,Bridel
L-8118,Bridel
L-8119,Bridel
L-8120,Bridel
L-8121,Bridel
L-8123,Bridel
L-8124,Bridel
L-8125,Bridel
L-8126,Bridel
L-8127,Bridel
L-8128,Bridel
L-8129,Bridel
L-8131,Bridel
L-8132,Bridel
L-8133,Bridel
L-8134,Bridel
L-8135,Bridel
L-8137,Bridel
L-8138,Bridel
L-8139,Bridel
L-8140,Bridel
L-8141,Bridel
L-8142,Bridel
L-8143,Bridel
L-8145,Bridel
L-8146,Bridel
L-8147,Bridel
L-8149,Bridel
L-8150,Bridel
L-8151,Bridel
L-8152,Bridel
L-8153,Bridel
L-8154,Bridel
L-8156,Bridel
L-8157,Bridel
L-8158,Bridel
L-8159,Bridel
L-8160,Bridel
L-8161,Bridel
L-8165,Bridel
L-8166,Bridel
L-8167,Bridel
L-8179,Kopstal
L-8180,Kopstal
L-8181,Kopstal
L-8182,Kopstal
L-8183,Kopstal
L-8184,Kopstal
L-8185,Kopstal
L-8186,Kopstal
L-8187,Kopstal
L-8188,Kopstal
L-8189,Kopstal
L-8190,Kopstal
L-8191,Kopstal
L-8201,Mamer
L-8209,Mamer
L-8210,Mamer
L-8211,Mamer
L-8212,Mamer
L-8213,Mamer
L-8214,Mamer
L-8215,Mamer
L-8216,Mamer
L-8217,Mamer
L-8218,Mamer
L-8219,Mamer
L-8220,Mamer
L-8221,Mamer
L-8222,Mamer
L-8223,Mamer
L-8224,Mamer
L-8225,Mamer
L-8226,Mamer
L-8227,Mamer
L-8228,Mamer
L-8229,Mamer
L-8230,Mamer
L-8231,Mamer
L-8232,Mamer
L-8233,Mamer
L-8234,Mamer
L-8235,Mamer
L-8236,Mamer
L-8237,Mamer
L-8238,Mamer
L-8239,Mamer
L-8240,Mamer
L-8241,Mamer
L-8242,Mamer
L-8243,Mamer
L-8244,Mamer
L-8245,Mamer
L-8246,Mamer
L-8247,Mamer
L-8248,Mamer
L-8249,Mamer
L-8250,Mamer
L-8251,Mamer
L-8252,Mamer
L-8253,Mamer
L-8254,Mamer
L-8255,Mamer
L-8258,Mamer
L-8259,Mamer
L-8260,Mamer
L-8261,Mamer
L-8262,Mamer
L-8263,Mamer
L-8264,Mamer
L-8265,Mamer
L-8266,Mamer
L-8267,Mamer
L-8268,Mamer
L-8269,Mamer
L-8270,Mamer
L-8271,Mamer
L-8272,Mamer
L-8273,Mamer
L-8277,Holzem
L-8278,Holzem
L-8279,Holzem
L-8301,Capellen
L-8302,Capellen
L-8303,Capellen
L-8308,Capellen
L-8309,Holzem
L-8310,Capellen
L-8311,Capellen
L-8313,Capellen
L-8314,Capellen
L-8317,Capellen
L-8318,Capellen
L-8320,Capellen
L-8323,Capellen
L-8325,Capellen
L-8326,Capellen
L-8328,Capellen
L-8329,Capellen
L-8330,Capellen
L-8331,Capellen
L-8334,Capellen
L-8335,Capellen
L-8336,Capellen
L-8337,Capellen
L-8345,Capellen
L-8348,Capellen
L-8363,Leesbach
L-8363,Simmerfarm
L-8363,Greisch
L-8363,Simmerschmelz
L-8383,Septfontaines
L-8395,Septfontaines
L-8396,Septfontaines
L-8398,Roodt/Eisch
L-8346,Grass
L-8347,Hagen
L-8362,Grass
L-8364,Hagen
L-8365,Hagen
L-8366,Hagen
L-8367,Hagen
L-8368,Hagen
L-8378,Kleinbettingen
L-8379,Kleinbettingen
L-8380,Kleinbettingen
L-8381,Kleinbettingen
L-8389,Grass
L-8401,Steinfort
L-8410,Steinfort
L-8411,Steinfort
L-8412,Steinfort
L-8413,Steinfort
L-8414,Steinfort
L-8415,Steinfort
L-8416,Steinfort
L-8420,Steinfort
L-8421,Steinfort
L-8422,Steinfort
L-8423,Steinfort
L-8424,Steinfort
L-8425,Steinfort
L-8435,Steinfort
L-8436,Steinfort
L-8437,Steinfort
L-8438,Steinfort
L-8440,Steinfort
L-8441,Steinfort
L-8442,Steinfort
L-8443,Steinfort
L-8444,Steinfort
L-8445,Steinfort
L-8447,Steinfort
L-8448,Steinfort
L-8449,Steinfort
L-8450,Steinfort
L-8451,Steinfort
L-8452,Steinfort
L-8453,Steinfort
L-4795,Linger
L-4796,Linger
L-4797,Linger
L-4798,Linger
L-4901,Bascharage
L-4902,Bascharage
L-4907,Bascharage
L-4908,Bascharage
L-4909,Bascharage
L-4910,Hautcharage
L-4911,Bascharage
L-4912,Bascharage
L-4913,Hautcharage
L-4914,Bascharage
L-4915,Hautcharage
L-4916,Bascharage
L-4917,Bascharage
L-4918,Bascharage
L-4919,Bascharage
L-4920,Bascharage
L-4921,Hautcharage
L-4922,Bascharage
L-4923,Hautcharage
L-4924,Hautcharage
L-4925,Bascharage
L-4926,Bascharage
L-4927,Hautcharage
L-4928,Bascharage
L-4929,Hautcharage
L-4930,Bascharage
L-4931,Hautcharage
L-4932,Hautcharage
L-4933,Bascharage
L-4934,Hautcharage
L-4935,Hautcharage
L-4936,Bascharage
L-4937,Hautcharage
L-4938,Bascharage
L-4939,Bascharage
L-4940,Hautcharage
L-4940,Bascharage
L-4941,Bascharage
L-4942,Bascharage
L-4942,Hautcharage
L-4943,Hautcharage
L-4944,Bascharage
L-4945,Hautcharage
L-4945,Bascharage
L-4946,Bascharage
L-4947,Hautcharage
L-4947,Bascharage
L-4948,Bascharage
L-4949,Hautcharage
L-4950,Bascharage
L-4951,Bascharage
L-4952,Bascharage
L-4953,Hautcharage
L-4954,Bascharage
L-4955,Bascharage
L-4956,Hautcharage
L-4957,Hautcharage
L-4958,Bascharage
L-4959,Bascharage
L-4960,Clemency
L-4961,Clemency
L-4962,Clemency
L-4963,Clemency
L-4964,Clemency
L-4965,Clemency
L-4966,Clemency
L-4967,Clemency
L-4969,Hautcharage
L-4978,Fingig
L-4979,Fingig
L-9631,Allerborn
L-9641,Brachtenbach
L-9645,Derenbach
L-9672,Niederwampach
L-9673,Oberwampach
L-9684,Schimpach
L-9740,Boevange
L-9741,Boxhorn
L-9742,Boxhorn
L-9743,Crendal
L-9744,Deiffelt
L-9745,Doennange
L-9752,Hamiville
L-9754,Hinterhassel
L-9761,Lentzweiler
L-9762,Lullange
L-9770,Rumlange
L-9771,Stockem
L-9772,Troine
L-9773,Troine-Route
L-9779,Lentzweiler
L-9780,Wincrange
L-9902,Cinqfontaines
L-9940,Asselborn
L-9956,Hachiville
L-9960,Hoffelt
L-9974,Maulusmühle
L-9976,Sassel
L-9982,Weiler
L-9701,Clervaux
L-9706,Clervaux
L-9707,Clervaux
L-9708,Clervaux
L-9709,Clervaux
L-9710,Clervaux
L-9711,Clervaux
L-9712,Clervaux
L-9713,Clervaux
L-9714,Clervaux
L-9715,Clervaux
L-9737,Clervaux
L-9738,Eselborn
L-9746,Drauffelt
L-9748,Eselborn
L-9749,Fischbach
L-9751,Grindhausen
L-9753,Heinerscheid
L-9755,Hupperdange
L-9756,Kaesfurt
L-9757,Kalborn
L-9758,Tintesmühle
L-9759,Kirelshof
L-9763,Marnach
L-9764,Marnach
L-9765,Kaaspelterhof
L-9765,Mecher
L-9765,Wirtgensmühle
L-9766,Munshausen
L-9768,Reuler
L-9769,Roder
L-9774,Urspelt
L-9775,Weicherdange
L-9779,Eselborn
L-9840,Siebenaler
L-9968,Lausdorn
L-9968,Fossenhof
L-9972,Lieler
L-9901,Troisvierges
L-9903,Troisvierges
L-9905,Troisvierges
L-9906,Troisvierges
L-9907,Troisvierges
L-9908,Troisvierges
L-9909,Troisvierges
L-9910,Troisvierges
L-9911,Troisvierges
L-9912,Troisvierges
L-9913,Troisvierges
L-9942,Basbellain
L-9943,Hautbellain
L-9948,Biwisch
L-9952,Drinklange
L-9954,Goedange
L-9964,Huldange
L-9980,Wilwerdange
L-9981,Wilwerdange
L-9944,Beiler
L-9946,Binsfeld
L-9950,Breidfeld
L-9962,Holler
L-9966,Kaesfurt
L-9968,Hollermühle
L-9968,Kleemühle
L-9968,Rossmühle
L-9970,Leithum
L-9990,Weiswampach
L-9991,Weiswampach
L-9992,Weiswampach
L-9993,Weiswampach
L-9994,Weiswampach
L-9999,Wemperhardt
L-9183,Oberschlinder
L-9183,Unterschlinder
L-9376,Hoscheid
L-9377,Hoscheid
L-9378,Hoscheid
L-9801,Hosingen
L-9805,Hosingen
L-9806,Hosingen
L-9807,Hosingen
L-9808,Hosingen
L-9809,Hosingen
L-9810,Hosingen
L-9830,Bockholtz
L-9831,Consthum
L-9833,Dorscheid
L-9834,Holzthum
L-9835,Hoscheid-Dickt
L-9836,Hosingen
L-9837,Neidhausen
L-9838,Eisenbach
